category,topaneu_id,topaneu_name,p3_id,p3_name,mapping_type,confidence,notes
Location (Aneurysm),17,1.10 BA tip,2,Basilar Tip,EXACT,HIGH,Exact anatomical match for basilar bifurcation / apex aneurysm.
Location (Aneurysm),18,R-2.1 P1P2,1,Other Posterior Circulation,MERGED,HIGH,TopAneu distinguishes PCA segments (P1-P4); P3 groups all PCA branches into Other Posterior Circulation.
Location (Aneurysm),19,L-2.1 P1P2,1,Other Posterior Circulation,MERGED,HIGH,TopAneu distinguishes PCA segments (P1-P4); P3 groups all PCA branches into Other Posterior Circulation.
Location (Aneurysm),20,R-2.2 P3P4,1,Other Posterior Circulation,MERGED,HIGH,TopAneu distinguishes PCA segments (P1-P4); P3 groups all PCA branches into Other Posterior Circulation.
Location (Aneurysm),21,L-2.2 P3P4,1,Other Posterior Circulation,MERGED,HIGH,TopAneu distinguishes PCA segments (P1-P4); P3 groups all PCA branches into Other Posterior Circulation.
Location (Aneurysm),22,R-3.1 ICA infraclinoid C1-C5,5,Right Infraclinoid Internal Carotid Artery,EXACT,HIGH,Exact anatomical match for cervical/petrous/cavernous/clinoid segments.
Location (Aneurysm),23,L-3.1 ICA infraclinoid C1-C5,6,Left Infraclinoid Internal Carotid Artery,EXACT,HIGH,Exact anatomical match for cervical/petrous/cavernous/clinoid segments.
Location (Aneurysm),24,R-3.2 ICA C6-OA-junction,7,Right Supraclinoid Internal Carotid Artery,MERGED,HIGH,"TopAneu subdivides supraclinoid ICA into C6-OA, C6-nonOA, C7-nonBranch, and C7-terminus; P3 combines these into Supraclinoid ICA."
Location (Aneurysm),25,L-3.2 ICA C6-OA-junction,8,Left Supraclinoid Internal Carotid Artery,MERGED,HIGH,"TopAneu subdivides supraclinoid ICA into C6-OA, C6-nonOA, C7-nonBranch, and C7-terminus; P3 combines these into Supraclinoid ICA."
Location (Aneurysm),26,R-3.3 ICA C6-nonOA,7,Right Supraclinoid Internal Carotid Artery,MERGED,HIGH,"TopAneu subdivides supraclinoid ICA into C6-OA, C6-nonOA, C7-nonBranch, and C7-terminus; P3 combines these into Supraclinoid ICA."
Location (Aneurysm),27,L-3.3 ICA C6-nonOA,8,Left Supraclinoid Internal Carotid Artery,MERGED,HIGH,"TopAneu subdivides supraclinoid ICA into C6-OA, C6-nonOA, C7-nonBranch, and C7-terminus; P3 combines these into Supraclinoid ICA."
Location (Aneurysm),28,R-3.4 ICA C7-Pcom-junction,3,Right Posterior Communicating Artery,RELATED,MEDIUM,TopAneu considers this the ICA junction; P3 annotates PCom aneurysms under Posterior Communicating Artery. Also closely related to Supraclinoid ICA.
Location (Aneurysm),29,L-3.4 ICA C7-Pcom-junction,4,Left Posterior Communicating Artery,RELATED,MEDIUM,TopAneu considers this the ICA junction; P3 annotates PCom aneurysms under Posterior Communicating Artery. Also closely related to Supraclinoid ICA.
Location (Aneurysm),30,R-3.5 ICA C7-AChA-junction,7,Right Supraclinoid Internal Carotid Artery,MERGED,HIGH,Anterior choroidal junction is part of C7 supraclinoid segment in P3 taxonomy.
Location (Aneurysm),31,L-3.5 ICA C7-AChA-junction,8,Left Supraclinoid Internal Carotid Artery,MERGED,HIGH,Anterior choroidal junction is part of C7 supraclinoid segment in P3 taxonomy.
Location (Aneurysm),32,R-3.6 ICA C7-nonBranch,7,Right Supraclinoid Internal Carotid Artery,MERGED,HIGH,"TopAneu subdivides supraclinoid ICA into C6-OA, C6-nonOA, C7-nonBranch, and C7-terminus; P3 combines these into Supraclinoid ICA."
Location (Aneurysm),33,L-3.6 ICA C7-nonBranch,8,Left Supraclinoid Internal Carotid Artery,MERGED,HIGH,"TopAneu subdivides supraclinoid ICA into C6-OA, C6-nonOA, C7-nonBranch, and C7-terminus; P3 combines these into Supraclinoid ICA."
Location (Aneurysm),34,R-3.7 ICA C7-terminus,7,Right Supraclinoid Internal Carotid Artery,MERGED,HIGH,"TopAneu subdivides supraclinoid ICA into C6-OA, C6-nonOA, C7-nonBranch, and C7-terminus; P3 combines these into Supraclinoid ICA."
Location (Aneurysm),35,L-3.7 ICA C7-terminus,8,Left Supraclinoid Internal Carotid Artery,MERGED,HIGH,"TopAneu subdivides supraclinoid ICA into C6-OA, C6-nonOA, C7-nonBranch, and C7-terminus; P3 combines these into Supraclinoid ICA."
Location (Aneurysm),36,4.1 Acom complex,13,Anterior Communicating Artery,EXACT,HIGH,Exact anatomical match for ACom complex aneurysms.
Location (Aneurysm),37,R-4.2 A1,11,Right Anterior Cerebral Artery,MERGED,HIGH,"TopAneu divides ACA into A1, A2, A3, and distal branches; P3 pools all ipsilateral ACA segments into Right/Left ACA."
Location (Aneurysm),38,L-4.2 A1,12,Left Anterior Cerebral Artery,MERGED,HIGH,"TopAneu divides ACA into A1, A2, A3, and distal branches; P3 pools all ipsilateral ACA segments into Right/Left ACA."
Location (Aneurysm),39,R-4.3 A2,11,Right Anterior Cerebral Artery,MERGED,HIGH,"TopAneu divides ACA into A1, A2, A3, and distal branches; P3 pools all ipsilateral ACA segments into Right/Left ACA."
Location (Aneurysm),40,L-4.3 A2,12,Left Anterior Cerebral Artery,MERGED,HIGH,"TopAneu divides ACA into A1, A2, A3, and distal branches; P3 pools all ipsilateral ACA segments into Right/Left ACA."
Location (Aneurysm),41,R-4.4 A3,11,Right Anterior Cerebral Artery,MERGED,HIGH,"TopAneu divides ACA into A1, A2, A3, and distal branches; P3 pools all ipsilateral ACA segments into Right/Left ACA."
Location (Aneurysm),42,L-4.4 A3,12,Left Anterior Cerebral Artery,MERGED,HIGH,"TopAneu divides ACA into A1, A2, A3, and distal branches; P3 pools all ipsilateral ACA segments into Right/Left ACA."
Location (Aneurysm),43,R-4.5 Distal ACA branches,11,Right Anterior Cerebral Artery,MERGED,HIGH,"TopAneu divides ACA into A1, A2, A3, and distal branches; P3 pools all ipsilateral ACA segments into Right/Left ACA."
Location (Aneurysm),44,L-4.5 Distal ACA branches,12,Left Anterior Cerebral Artery,MERGED,HIGH,"TopAneu divides ACA into A1, A2, A3, and distal branches; P3 pools all ipsilateral ACA segments into Right/Left ACA."
Location (Aneurysm),45,R-5.1 M1 trunk,9,Right Middle Cerebral Artery,MERGED,HIGH,"TopAneu divides MCA into M1 trunk, bifurcation, junction, and distal branches; P3 pools all into Right/Left MCA."
Location (Aneurysm),46,L-5.1 M1 trunk,10,Left Middle Cerebral Artery,MERGED,HIGH,"TopAneu divides MCA into M1 trunk, bifurcation, junction, and distal branches; P3 pools all into Right/Left MCA."
Location (Aneurysm),47,R-5.2 M1 early bifurcation,9,Right Middle Cerebral Artery,MERGED,HIGH,"TopAneu divides MCA into M1 trunk, bifurcation, junction, and distal branches; P3 pools all into Right/Left MCA."
Location (Aneurysm),48,L-5.2 M1 early bifurcation,10,Left Middle Cerebral Artery,MERGED,HIGH,"TopAneu divides MCA into M1 trunk, bifurcation, junction, and distal branches; P3 pools all into Right/Left MCA."
Location (Aneurysm),49,R-5.3 M1-M2 junction,9,Right Middle Cerebral Artery,MERGED,HIGH,"TopAneu divides MCA into M1 trunk, bifurcation, junction, and distal branches; P3 pools all into Right/Left MCA."
Location (Aneurysm),50,L-5.3 M1-M2 junction,10,Left Middle Cerebral Artery,MERGED,HIGH,"TopAneu divides MCA into M1 trunk, bifurcation, junction, and distal branches; P3 pools all into Right/Left MCA."
Location (Aneurysm),51,R-5.3 Distal-M2M3,9,Right Middle Cerebral Artery,MERGED,HIGH,"TopAneu divides MCA into M1 trunk, bifurcation, junction, and distal branches; P3 pools all into Right/Left MCA."
Location (Aneurysm),52,L-5.3 Distal-M2M3,10,Left Middle Cerebral Artery,MERGED,HIGH,"TopAneu divides MCA into M1 trunk, bifurcation, junction, and distal branches; P3 pools all into Right/Left MCA."
Vessel (Anatomy),1,BA,1,Other Posterior Circulation,RELATED,HIGH,Basilar artery trunk maps to Other Posterior Circulation in P3; apex maps to Basilar Tip.
Vessel (Anatomy),2,R-P1P2,1,Other Posterior Circulation,MERGED,HIGH,"Vertebral, cerebellar, and posterior cerebral arteries merged into Other Posterior Circulation."
Vessel (Anatomy),3,L-P1P2,1,Other Posterior Circulation,MERGED,HIGH,"Vertebral, cerebellar, and posterior cerebral arteries merged into Other Posterior Circulation."
Vessel (Anatomy),4,R-ICA-C6-C7,7,Right Supraclinoid Internal Carotid Artery,EXACT,HIGH,Exact match for supraclinoid ICA.
Vessel (Anatomy),5,R-M1,9,Right Middle Cerebral Artery,MERGED,HIGH,"M1, M2, M3 combined into Right MCA."
Vessel (Anatomy),6,L-ICA-C6-C7,8,Left Supraclinoid Internal Carotid Artery,EXACT,HIGH,Exact match for supraclinoid ICA.
Vessel (Anatomy),7,L-M1,10,Left Middle Cerebral Artery,MERGED,HIGH,"M1, M2, M3 combined into Left MCA."
Vessel (Anatomy),8,R-Pcom,3,Right Posterior Communicating Artery,EXACT,HIGH,Exact match for right PCom.
Vessel (Anatomy),9,L-Pcom,4,Left Posterior Communicating Artery,EXACT,HIGH,Exact match for left PCom.
Vessel (Anatomy),10,Acom,13,Anterior Communicating Artery,EXACT,HIGH,Exact match for ACom artery.
Vessel (Anatomy),11,R-A1A2,11,Right Anterior Cerebral Artery,MERGED,HIGH,"A1, A2, A3 combined into Right ACA."
Vessel (Anatomy),12,L-A1A2,12,Left Anterior Cerebral Artery,MERGED,HIGH,"A1, A2, A3 combined into Left ACA."
Vessel (Anatomy),13,R-A3,11,Right Anterior Cerebral Artery,MERGED,HIGH,"A1, A2, A3 combined into Right ACA."
Vessel (Anatomy),14,L-A3,12,Left Anterior Cerebral Artery,MERGED,HIGH,"A1, A2, A3 combined into Left ACA."
Vessel (Anatomy),15,3rd-A2,N/A,NO_DIRECT_EQUIVALENT,NO_DIRECT_EQUIVALENT,HIGH,Anomalous median anterior cerebral artery variant; not present in P3 standard anatomy.
Vessel (Anatomy),16,3rd-A3,N/A,NO_DIRECT_EQUIVALENT,NO_DIRECT_EQUIVALENT,HIGH,Anomalous median anterior cerebral artery variant; not present in P3 standard anatomy.
Vessel (Anatomy),17,R-M2,9,Right Middle Cerebral Artery,MERGED,HIGH,"M1, M2, M3 combined into Right MCA."
Vessel (Anatomy),18,R-M3,9,Right Middle Cerebral Artery,MERGED,HIGH,"M1, M2, M3 combined into Right MCA."
Vessel (Anatomy),19,L-M2,10,Left Middle Cerebral Artery,MERGED,HIGH,"M1, M2, M3 combined into Left MCA."
Vessel (Anatomy),20,L-M3,10,Left Middle Cerebral Artery,MERGED,HIGH,"M1, M2, M3 combined into Left MCA."
Vessel (Anatomy),21,R-P3P4,1,Other Posterior Circulation,MERGED,HIGH,"Vertebral, cerebellar, and posterior cerebral arteries merged into Other Posterior Circulation."
Vessel (Anatomy),22,L-P3P4,1,Other Posterior Circulation,MERGED,HIGH,"Vertebral, cerebellar, and posterior cerebral arteries merged into Other Posterior Circulation."
Vessel (Anatomy),23,R-VA,1,Other Posterior Circulation,MERGED,HIGH,"Vertebral, cerebellar, and posterior cerebral arteries merged into Other Posterior Circulation."
Vessel (Anatomy),24,L-VA,1,Other Posterior Circulation,MERGED,HIGH,"Vertebral, cerebellar, and posterior cerebral arteries merged into Other Posterior Circulation."
Vessel (Anatomy),25,R-SCA,1,Other Posterior Circulation,MERGED,HIGH,"Vertebral, cerebellar, and posterior cerebral arteries merged into Other Posterior Circulation."
Vessel (Anatomy),26,L-SCA,1,Other Posterior Circulation,MERGED,HIGH,"Vertebral, cerebellar, and posterior cerebral arteries merged into Other Posterior Circulation."
Vessel (Anatomy),27,R-AICA,1,Other Posterior Circulation,MERGED,HIGH,"Vertebral, cerebellar, and posterior cerebral arteries merged into Other Posterior Circulation."
Vessel (Anatomy),28,L-AICA,1,Other Posterior Circulation,MERGED,HIGH,"Vertebral, cerebellar, and posterior cerebral arteries merged into Other Posterior Circulation."
Vessel (Anatomy),29,R-PICA,1,Other Posterior Circulation,MERGED,HIGH,"Vertebral, cerebellar, and posterior cerebral arteries merged into Other Posterior Circulation."
Vessel (Anatomy),30,L-PICA,1,Other Posterior Circulation,MERGED,HIGH,"Vertebral, cerebellar, and posterior cerebral arteries merged into Other Posterior Circulation."
Vessel (Anatomy),31,R-AChA,7,Right Supraclinoid Internal Carotid Artery,RELATED,MEDIUM,Small anterior choroidal and ophthalmic branches arise from C6/C7 ICA; P3 does not separate micro-branches.
Vessel (Anatomy),32,L-AChA,8,Left Supraclinoid Internal Carotid Artery,RELATED,MEDIUM,Small anterior choroidal and ophthalmic branches arise from C6/C7 ICA; P3 does not separate micro-branches.
Vessel (Anatomy),33,R-OA,7,Right Supraclinoid Internal Carotid Artery,RELATED,MEDIUM,Small anterior choroidal and ophthalmic branches arise from C6/C7 ICA; P3 does not separate micro-branches.
Vessel (Anatomy),34,L-OA,8,Left Supraclinoid Internal Carotid Artery,RELATED,MEDIUM,Small anterior choroidal and ophthalmic branches arise from C6/C7 ICA; P3 does not separate micro-branches.
Vessel (Anatomy),35,R-ICA-C1-C5,5,Right Infraclinoid Internal Carotid Artery,EXACT,HIGH,Exact match for infraclinoid ICA.
Vessel (Anatomy),36,L-ICA-C1-C5,6,Left Infraclinoid Internal Carotid Artery,EXACT,HIGH,Exact match for infraclinoid ICA.
